id,row_idx,plume_id,label,reference,sensors,num_sensors,target_mask,target_shape,fusion_iou_plus,align_modes
161551,17536,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.5235321528424977,resize_no_crs
161555,17537,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4962080941243178,resize_no_crs
161574,17538,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6690345577268246,resize_no_crs
161590,17539,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8214026859944574,resize_no_crs
161598,17540,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.3919410136726011,resize_no_crs
161604,17541,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6213611201563009,resize_no_crs
161611,17542,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.24582493688184745,resize_no_crs
161619,17543,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7779455522494115,resize_no_crs
161625,17544,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4451041328447516,resize_no_crs
161632,17545,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.2160826788642444,resize_no_crs
161638,17546,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7631241066886311,resize_no_crs
161645,17547,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7893973807567777,resize_no_crs
161655,17548,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4629559984956751,resize_no_crs
161672,17549,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.40413834466213516,resize_no_crs
161682,17550,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6883365200764818,resize_no_crs
161694,17551,emi20240214t140400p09023-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.06258493999493239,resize_no_crs
161705,17552,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161713,17553,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161721,17554,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161729,17555,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161737,17556,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161751,17557,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161765,17558,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161776,17559,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161785,17560,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161797,17561,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161807,17562,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161824,17563,emi20240214t140400p09023-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161698,17564,emi20240214t140400p09023-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161754,17565,emi20240214t140400p09023-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161772,17566,emi20240214t140400p09023-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
189137,20851,emi20241202t071108p05011-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
